date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:54	41973/41973	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:54%20GMT	http://www.bnc100.com/news/zitiganxibaoweilaiyingyongqianjing.html	D:/My%20Web%20Sites/copy/www.bnc100.com/news/zitiganxibaoweilaiyingyongqianjing.html	(from http://www.bnc100.com/)
10:12:55	16803/16803	---M--	200	added ('OK')	image/png	etag:%2241a3-605119c5a2400%22	https://bnc100.com/static/home/images/f-logo.png	D:/My%20Web%20Sites/copy/bnc100.com/static/home/images/f-logo.png	(from http://www.bnc100.com/)
10:12:55	428/428	---M--	200	added ('OK')	image/png	etag:%221ac-60511a751c200%22	https://bnc100.com/static/home/images/icon-f1.png	D:/My%20Web%20Sites/copy/bnc100.com/static/home/images/icon-f1.png	(from http://www.bnc100.com/)
10:12:55	12423/12423	---M--	200	added ('OK')	image/png	etag:%223087-60511c4680c00%22	https://bnc100.com/static/home/images/icon-code.png	D:/My%20Web%20Sites/copy/bnc100.com/static/home/images/icon-code.png	(from http://www.bnc100.com/)
10:12:56	4999/4999	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2002:12:55%20GMT	http://www.bnc100.com/www.baidu.com	D:/My%20Web%20Sites/copy/www.bnc100.com/www.baidu.com	(from http://www.bnc100.com/)
10:12:56	480/480	---M--	200	added ('OK')	image/png	etag:%221e0-6075c9d8c2ade%22	https://bnc100.com/upload/images/friend_link/20231010/16969442217523354.png	D:/My%20Web%20Sites/copy/bnc100.com/upload/images/friend_link/20231010/16969442217523354.png	(from http://www.bnc100.com/)
10:12:56	1044/1044	---M--	200	added ('OK')	image/png	etag:%22414-60511e6248580%22	http://www.bnc100.com/static/home/images/f-ph.png	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/images/f-ph.png	(from http://www.bnc100.com/)
10:12:56	46810/46810	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:56%20GMT	http://www.bnc100.com/list/1.html	D:/My%20Web%20Sites/copy/www.bnc100.com/list/1.html	(from http://www.bnc100.com/)
10:12:57	17388/17388	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:56%20GMT	http://www.bnc100.com/product/1.html	D:/My%20Web%20Sites/copy/www.bnc100.com/product/1.html	(from http://www.bnc100.com/)
10:12:57	19877/19877	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:57%20GMT	http://www.bnc100.com/list/2.html	D:/My%20Web%20Sites/copy/www.bnc100.com/list/2.html	(from http://www.bnc100.com/)
10:12:57	24850/24850	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:57%20GMT	http://www.bnc100.com/list/3.html	D:/My%20Web%20Sites/copy/www.bnc100.com/list/3.html	(from http://www.bnc100.com/)
10:12:57	33218/33218	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:57%20GMT	http://www.bnc100.com/list/4.html	D:/My%20Web%20Sites/copy/www.bnc100.com/list/4.html	(from http://www.bnc100.com/)
10:12:58	14879/14879	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:57%20GMT	http://www.bnc100.com/list/5.html	D:/My%20Web%20Sites/copy/www.bnc100.com/list/5.html	(from http://www.bnc100.com/)
10:12:58	11222/11222	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:58%20GMT	http://www.bnc100.com/detail/38.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/38.html	(from http://www.bnc100.com/)
10:12:58	11222/11222	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:58%20GMT	http://www.bnc100.com/detail/39.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/39.html	(from http://www.bnc100.com/)
10:12:59	1257/1257	---M--	200	added ('OK')	application/javascript	etag:%224e9-557d9aaa4cc80%22	http://www.bnc100.com/static/home/js/ifie8.js	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/js/ifie8.js	(from http://www.bnc100.com/)
10:13:01	2211/2211	---M--	200	added ('OK')	application/javascript	etag:%228a3-557d9aa864800%22	http://www.bnc100.com/static/home/js/placeholder.min.js	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/js/placeholder.min.js	(from http://www.bnc100.com/)
10:13:02	4554/4554	---M--	200	added ('OK')	application/javascript	etag:%2211ca-6052642361280%22	http://www.bnc100.com/static/home/js/js.js	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/js/js.js	(from http://www.bnc100.com/)
10:13:03	9444/9444	---M--	200	added ('OK')	application/javascript	etag:%2224e4-605d963a40680%22	http://www.bnc100.com/static/home/default/hunuo.js	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/default/hunuo.js	(from http://www.bnc100.com/)
10:13:04	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%2215d84-5ff16ed784980%22	http://www.bnc100.com/static/home/js/jquery.js	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/js/jquery.js	(from http://www.bnc100.com/)
10:13:05	122/122	---M--	200	added ('OK')	image/png	etag:%227a-60379bb62bb80%22	http://www.bnc100.com/static/home/images/icon-mob.png	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/images/icon-mob.png	(from http://www.bnc100.com/static/home/css/style.css)
10:13:05	198/198	---M--	200	added ('OK')	image/png	etag:%22c6-5fafc16df7880%22	http://www.bnc100.com/static/home/images/hm_3.png	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/images/hm_3.png	(from http://www.bnc100.com/static/home/css/style.css)
10:13:05	157/157	---M--	200	added ('OK')	image/png	etag:%229d-5fafc17598a80%22	http://www.bnc100.com/static/home/images/hm_4.png	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/images/hm_4.png	(from http://www.bnc100.com/static/home/css/style.css)
10:13:06	1523/1523	---M--	200	added ('OK')	image/png	etag:%225f3-6015a958d1700%22	http://www.bnc100.com/static/home/images/m_off.png	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/images/m_off.png	(from http://www.bnc100.com/static/home/css/style.css)
